,Test,Mean,Std,All,Units
83,"tree/[50,10]/[moveFromStartToEnd(1)]",36.016798,0.003387,"36.01,36.02,36.02,36.02,36.02",ms
84,"tree/[10,50]/[moveFromStartToEnd(1)]",38.214302,8.398367,"34.02,34.02,34.02,34.01,55.01",ms
85,"tree/[5,100]/[moveFromStartToEnd(1)]",40.817499,10.381505,"54.01,53.02,32.02,32.02,33.02",ms
86,"tree/[10,10,10,10]/no_change/prerun",0.402403,0.492849,"0.00,1.01,1.00,0.00,0.00",ms
87,"tree/[10,10,10,10]/no_change",0.398636,0.488231,"0.00,0.00,0.00,0.99,1.00",ms
88,"tree/[2,2,2,2,2,2,2,2,2,2]/no_change/prerun",0,0,"0.00,0.00,0.00,0.00,0.00",ms
89,"tree/[2,2,2,2,2,2,2,2,2,2]/no_change",0.400496,0.490505,"0.00,0.00,0.00,1.00,1.00",ms
90,anim/100/32,3.123188,0.143301,"3.37,3.00,3.20,3.00,3.04",ms
91,anim/100/16,3.272867,0.385051,"3.33,3.01,3.01,4.00,3.01",ms
92,anim/100/8,3.601885,0.48609,"4.00,4.00,3.01,3.00,3.99",ms
93,anim/100/4,11.84845,15.576241,"4.01,4.23,43.00,4.00,4.00",ms
94,anim/finalize,0.700665,0.399045,"0.00,1.00,0.99,0.51,1.00",ms
